Source	Target	Weight
ssl keystore	cassandra	1
ssl keystore	keystore	22
ssl keystore	wcs	1
ssl keystore	outbound	1
ssl keystore	axis2	2
ssl keystore	ibm-was	1
ssl keystore	servlets	2
ssl keystore	playframework	1
ssl keystore	ldapconnection	1
ssl keystore	default	1
ssl keystore	authentication	10
ssl keystore	wcf	1
ssl keystore	ews	1
ssl keystore	jenkins	1
ssl keystore	android	6
ssl keystore	mobilefirst	1
ssl keystore	soap	3
ssl keystore	jboss5.x	1
ssl keystore	x509	1
ssl keystore	mutual	1
ssl keystore	jks	5
ssl keystore	caching	1
ssl keystore	jsp	3
ssl keystore	accesscontrolexception	1
ssl keystore	ssl-certificate	21
ssl keystore	password-encryption	1
ssl keystore	debian	1
ssl keystore	websphere-mq	1
ssl keystore	public-key	1
ssl keystore	sslhandshakeexception	3
ssl keystore	tomcat	22
ssl keystore	nginx	1
ssl keystore	grails	2
ssl keystore	jar-signing	1
ssl keystore	sftp	1
ssl keystore	client	3
ssl keystore	worklight	1
ssl keystore	x509certificate2	1
ssl keystore	oracle	1
ssl keystore	validation	3
ssl keystore	wsimport	1
JavaScript and jQuery 	mixpanel	1
JavaScript and jQuery 	twitter-bootstrap	1
JavaScript and jQuery 	geolocation	1
JavaScript and jQuery 	database-connection	1
JavaScript and jQuery 	html-parsing	1
JavaScript and jQuery 	drag-and-drop	1
JavaScript and jQuery 	rest	4
JavaScript and jQuery 	cross-domain	1
JavaScript and jQuery 	session	1
JavaScript and jQuery 	mysql	6
JavaScript and jQuery 	flash-builder	1
JavaScript and jQuery 	xml	2
JavaScript and jQuery 	web	2
JavaScript and jQuery 	xmlhttprequest	1
JavaScript and jQuery 	struct	1
JavaScript and jQuery 	encoding	1
JavaScript and jQuery 	selenium	1
JavaScript and jQuery 	javascript-injection	1
JavaScript and jQuery 	java-ee-6	1
JavaScript and jQuery 	ldap	1
JavaScript and jQuery 	model-view-controller	2
JavaScript and jQuery 	spring-security	17
JavaScript and jQuery 	flex	1
JavaScript and jQuery 	playframework	1
JavaScript and jQuery 	indexing	1
JavaScript and jQuery 	spring-roo	1
JavaScript and jQuery 	jstl	2
JavaScript and jQuery 	prepared-statement	3
JavaScript and jQuery 	xhtml	1
JavaScript and jQuery 	xss	18
JavaScript and jQuery 	cordova	1
JavaScript and jQuery 	freemarker	1
JavaScript and jQuery 	soap	1
JavaScript and jQuery 	token	1
JavaScript and jQuery 	client-side-attacks	1
JavaScript and jQuery 	security	66
JavaScript and jQuery 	parameterized-query	1
JavaScript and jQuery 	ofbiz	1
JavaScript and jQuery 	el	1
JavaScript and jQuery 	stored-procedures	1
JavaScript and jQuery 	spring	10
JavaScript and jQuery 	twitter	1
JavaScript and jQuery 	file-access	1
JavaScript and jQuery 	web-services	2
JavaScript and jQuery 	web-applications	4
JavaScript and jQuery 	parameter-passing	1
JavaScript and jQuery 	actionscript-3	1
JavaScript and jQuery 	ejb-3.0	1
JavaScript and jQuery 	thymeleaf	1
JavaScript and jQuery 	ejb	1
JavaScript and jQuery 	jsoup	1
JavaScript and jQuery 	spring-mvc	9
JavaScript and jQuery 	sanitization	1
JavaScript and jQuery 	owin	1
JavaScript and jQuery 	hibernate	2
JavaScript and jQuery 	escaping	2
JavaScript and jQuery 	websphere	1
JavaScript and jQuery 	javascript	24
JavaScript and jQuery 	maven	1
JavaScript and jQuery 	ajax	3
JavaScript and jQuery 	logout	1
JavaScript and jQuery 	antisamy	1
JavaScript and jQuery 	onenote	1
JavaScript and jQuery 	apache	1
JavaScript and jQuery 	java-ee	2
JavaScript and jQuery 	servlet-filters	1
JavaScript and jQuery 	jdoql	1
JavaScript and jQuery 	jcryption	1
JavaScript and jQuery 	veracode	1
JavaScript and jQuery 	logging	2
JavaScript and jQuery 	ckeditor	1
JavaScript and jQuery 	grails-plugin	1
JavaScript and jQuery 	gvnix	1
JavaScript and jQuery 	tuckey-urlrewrite-filter	1
JavaScript and jQuery 	session-variables	1
JavaScript and jQuery 	gwt	2
JavaScript and jQuery 	struts2	2
JavaScript and jQuery 	swing	1
JavaScript and jQuery 	cucumber	1
JavaScript and jQuery 	webview	3
JavaScript and jQuery 	jersey	2
JavaScript and jQuery 	gwt-ext	1
JavaScript and jQuery 	selenium-webdriver	1
JavaScript and jQuery 	firefox	1
JavaScript and jQuery 	cognos	1
JavaScript and jQuery 	jar	1
JavaScript and jQuery 	variables	2
JavaScript and jQuery 	javascript-security	1
JavaScript and jQuery 	sakai	1
JavaScript and jQuery 	simplecaptcha	1
JavaScript and jQuery 	static-analysis	1
JavaScript and jQuery 	wicket	1
JavaScript and jQuery 	android-webview	2
JavaScript and jQuery 	regex	3
JavaScript and jQuery 	esapi	8
JavaScript and jQuery 	jdbc	3
JavaScript and jQuery 	java	108
